"STATION","DATE","PRCP","TAVG","TMAX","TMIN","TSUN"
"USW00094728","2014-01-15","0.00",,"47","39",
"USW00094728","2014-01-16","0.00",,"42","36",
"USW00094728","2014-01-17","0.00",,"44","33",
"USW00094728","2014-01-18","0.07",,"41","29",
"USW00094728","2014-01-19","0.00",,"38","24",
"USW00094728","2014-01-20","0.00",,"46","31",
"USW00094728","2014-01-21","0.46",,"31","11",
"USW00094728","2014-01-22","0.02",,"17","5",
"USW00094728","2014-01-23","0.00",,"20","7",
"USW00094728","2014-01-24","0.00",,"20","10",
"USW00094728","2014-01-25","0.04",,"28","19",
"USW00094728","2014-01-26","0.00",,"34","17",
"USW00094728","2014-01-27","0.00",,"44","21",
"USW00094728","2014-01-28","0.00",,"21","12",
"USW00094728","2014-01-29","0.04",,"23","14",
"USW00094728","2014-01-30","0.00",,"30","16",
"USW00094728","2014-01-31","0.00",,"39","25",
"USW00094728","2014-02-01","0.00",,"45","36",
"USW00094728","2014-02-02","0.00",,"56","39",
"USW00094728","2014-02-03","1.17",,"43","27",
"USW00094728","2014-02-04","0.00",,"35","22",
"USW00094728","2014-02-05","1.43",,"34","29",
"USW00094728","2014-02-06","0.00",,"32","21",
"USW00094728","2014-02-07","0.00",,"32","24",
"USW00094728","2014-02-08","0.00",,"29","21",
"USW00094728","2014-02-09","0.10",,"31","21",
"USW00094728","2014-02-10","0.00",,"29","21",
"USW00094728","2014-02-11","0.00",,"26","16",
"USW00094728","2014-02-12","0.00",,"25","13",
"USW00094728","2014-02-13","1.78",,"36","24",
"USW00094728","2014-02-14","0.30",,"40","31",
"USW00094728","2014-02-15","0.13",,"37","27",
"USW00094728","2014-02-16","0.00",,"30","21",
"USW00094728","2014-02-17","0.00",,"32","18",
"USW00094728","2014-02-18","0.16",,"39","26",
"USW00094728","2014-02-19","0.26",,"45","34",
"USW00094728","2014-02-20","0.03",,"51","37",
"USW00094728","2014-02-21","0.09",,"49","36",
"USW00094728","2014-02-22","0.00",,"54","40",
"USW00094728","2014-02-23","0.00",,"54","43",
"USW00094728","2014-02-24","0.00",,"44","27",
