73323:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-04","5.37",,,,,"0.00","0.0","0.0",,,,,,,,,,
73324:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-05","4.03",,,,,"0.00","0.0","0.0",,,,,,,,,,
73325:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-06","4.92",,,,,"0.00","0.0","0.0",,,,,,,,,,
73326:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-07","2.24",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73327:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-08","2.91",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73328:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-09","4.25",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73329:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-10","3.58",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73330:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-11","3.80",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73331:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-12","5.37",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73332:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-13","7.38",,,,,"0.00","0.0","0.0",,,,,,,,,,
73333:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-14","3.80",,,,,"0.00","0.0","0.0",,,,,,,,,,
73334:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-15","3.36",,,,,"0.00","0.0","0.0",,,,,,,,,,
73335:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-16","2.01",,,,,"0.30","0.0","0.0",,"    1",,,,,,,,
73336:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-17","2.01",,,,,"0.02","0.0","0.0",,"    1",,,,,,"    1",,
73337:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-18","4.70",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73338:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-19","2.46",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73339:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-20","6.93",,,,,"0.00","0.0","0.0",,,,,,,,,,
73340:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-21","2.68",,,,,"0.00","0.0","0.0",,,,,,,,,,
73341:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-22","6.04",,,,,"0.00","0.0","0.0",,,,,,,,,,
73342:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-23","4.47",,,,,"0.00","0.0","0.0",,,,,,,,,,
73343:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-24","3.80",,,,,"0.00","0.0","0.0",,,,,,,,,,
73344:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-25","4.92",,,,,"0.00","0.0","0.0",,,,,,,,,,
73345:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-26","5.14",,,,,"0.00","0.0","0.0",,,,,,,,,,
73346:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-27","5.14",,,,,"0.08","0.0","0.0",,"    1",,,,,,"    1",,
73347:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-28","4.03",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73348:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-29","4.03",,,,,"0.00","0.0","0.0",,,,,,,,,,
73349:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-30","5.59",,,,,"0.00","0.0","0.0",,,,,,,,,,
73350:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-31","5.59",,,,,"1.46","0.0","0.0",,"    1","    1",,,,,"    1",,
73351:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-01","10.29",,,,,"0.72","0.0","0.0",,"    1",,,,,,,,
73352:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-02","6.26",,,,,"0.37","0.0","0.0",,"    1",,,,,,,,
73353:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-03","4.70",,,,,"0.00","0.0","0.0",,"    1",,,,,,,,
73354:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-04","5.14",,,,,"0.00","0.0","0.0",,,,,,,,,,
73355:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-05","2.91",,,,,"0.13","0.0","0.0",,"    1",,,,,,"    1",,
73356:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-06","4.70",,,,,"0.19","0.0","0.0",,"    1",,,,,,,,
73357:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-07","3.80",,,,,"0.00","0.0","0.0",,,,,,,,,,
73358:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-08","6.04",,,,,"0.06","0.0","0.0",,"    1",,,,,,,,
73359:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-09","4.92",,,,,"0.01","0.0","0.0",,"    1",,,,,,"    1",,
73360:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-10","3.13",,,,,"0.00","0.0","0.0",,,,,,,,,,
73361:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-11","4.47",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73362:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-12","4.47",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73363:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-13","5.37",,,,,"0.00","0.0","0.0",,,,,,,,,,
73364:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-14","2.68",,,,,"0.36","0.0","0.0",,"    1",,,,,,,,
73365:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-15","4.70",,,,,"0.57","0.0","0.0",,"    1",,,,,,"    1",,
73366:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-16","2.24",,,,,"0.27","0.0","0.0",,"    1",,,,,,"    1",,
73367:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-17","3.80",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73368:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-18","3.58",,,,,"0.00","0.0","0.0",,,,,,,,,,
73369:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-19","3.80",,,,,"0.00","0.0","0.0",,,,,,,,,,
73370:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-20","5.37",,,,,"0.00","0.0","0.0",,"    1",,,,,,"    1",,
73371:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-21","4.47",,,,,"0.64","0.0","0.0",,"    1",,,,,,"    1",,
73372:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-22","4.92",,,,,"0.00","0.0","0.0",,,,,,,,,,
73373:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-23","5.82",,,,,"0.02","0.0","0.0",,,,,,,,,,
73374:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-24","4.70",,,,,"0.00","0.0","0.0",,,,,,,,,,
73375:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-25","3.13",,,,,"0.00","0.0","0.0",,,,,,,,,,
73376:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-26","4.47",,,,,"0.00","0.0","0.0",,,,,,,,,,
73377:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-27","7.38",,,,,"1.12","0.0","0.0",,"    1",,,,,,,,
73378:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-28","5.37",,,,,"0.29","0.0","0.0",,"    1",,,,,,,,
73379:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-29","4.92",,,,,"0.00","0.0","0.0",,,,,,,,,,
73380:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-30","4.92",,,,,"0.04","0.0","0.0",,"    1",,,,,,,,
73381:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-01","4.25",,,,,"0.39","0.0","0.0",,"    1",,,,,,"    1",,
73382:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-02","1.12",,,,,"0.00","0.0","0.0",,,,,,,,,,
73383:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-03","2.91",,,,,"0.00","0.0","0.0",,,,,,,,,,
73384:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-04","3.36",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73385:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-05","1.57",,,,,"0.00","0.0","0.0",,,,,,,,,,
73386:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-06","2.91",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73387:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-07","4.92",,,,,"0.12","0.0","0.0",,"    1",,,,,,"    1",,
73388:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-08","3.13",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73389:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-09","4.70",,,,,"0.30","0.0","0.0",,"    1",,,,,,"    1",,
73390:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-10","4.70",,,,,"0.00","0.0","0.0",,"    1",,,,,,,,
73391:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-11","2.46",,,,,"0.00","0.0","0.0",,,,,,,,,,
73392:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-12","2.01",,,,,"0.00","0.0","0.0",,,,,,,,,,
73393:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-13","2.68",,,,,"0.00","0.0","0.0",,,,,,,,,,
73394:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-14","2.68",,,,,"0.42","0.0","0.0",,"    1",,,,,,"    1",,
73395:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07-15","4.47",,,,,"0.12","0.0","0.0",,"    1",,,,,,"    1",,
